Unnamed: 0,北京,上海,天津,重庆,哈尔滨,长春,沈阳,呼和浩特,石家庄,太原,济南,郑州,西安,兰州,银川,西宁,乌鲁木齐,合肥,南京,杭州,长沙,南昌,武汉,成都,贵阳,福州,台北,广州,海口,南宁,昆明,拉萨,香港
北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海,1065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天津,104.0,963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆,1465.0,1445.0,1447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哈尔滨,1055.0,1675.0,1069.0,2515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长春,854.0,1444.0,856.0,2301.0,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沈阳,621.0,1191.0,604.0,2040.0,509.0,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
呼和浩特,408.0,1374.0,495.0,1342.0,1321.0,1160.0,974.0,,,,,,,,,,,,,,,,,,,,,,,,,,
石家庄,270.0,991.0,267.0,1195.0,1323.0,1117.0,870.0,385.0,,,,,,,,,,,,,,,,,,,,,,,,,
太原,406.0,1099.0,426.0,1081.0,1458.0,1261.0,1024.0,335.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,
济南,366.0,729.0,280.0,1253.0,1295.0,1069.0,798.0,648.0,273.0,416.0,,,,,,,,,,,,,,,,,,,,,,,
郑州,617.0,827.0,574.0,893.0,1637.0,1417.0,1151.0,689.0,366.0,356.0,361.0,,,,,,,,,,,,,,,,,,,,,,
西安,917.0,1223.0,916.0,572.0,1973.0,1769.0,1520.0,772.0,652.0,518.0,779.0,444.0,,,,,,,,,,,,,,,,,,,,,
兰州,1187.0,1718.0,1226.0,768.0,2192.0,2020.0,1807.0,874.0,970.0,803.0,1182.0,906.0,503.0,,,,,,,,,,,,,,,,,,,,
银川,897.0,1595.0,951.0,979.0,1870.0,1706.0,1506.0,549.0,717.0,554.0,965.0,771.0,510.0,334.0,,,,,,,,,,,,,,,,,,,
西宁,1333.0,1913.0,1381.0,906.0,2306.0,2146.0,1946.0,987.0,1134.0,967.0,1359.0,1097.0,699.0,196.0,441.0,,,,,,,,,,,,,,,,,,
乌鲁木齐,2417.0,3269.0,2504.0,2306.0,3062.0,2999.0,2905.0,2010.0,2335.0,2192.0,2605.0,2445.0,2114.0,1625.0,1674.0,1439.0,,,,,,,,,,,,,,,,,
合肥,898.0,402.0,812.0,1061.0,1743.0,1508.0,1235.0,1112.0,734.0,796.0,533.0,468.0,827.0,1327.0,1234.0,1523.0,2906.0,,,,,,,,,,,,,,,,
南京,900.0,266.0,805.0,1207.0,1667.0,1432.0,1162.0,1161.0,776.0,864.0,538.0,567.0,957.0,1452.0,1338.0,1647.0,3012.0,146.0,,,,,,,,,,,,,,,
杭州,1126.0,169.0,1028.0,1314.0,1816.0,1583.0,1322.0,1397.0,1012.0,1098.0,769.0,789.0,1148.0,1650.0,1559.0,1846.0,3231.0,326.0,236.0,,,,,,,,,,,,,,
长沙,1341.0,886.0,1279.0,647.0,2293.0,2061.0,1786.0,1409.0,1104.0,1077.0,1012.0,739.0,781.0,1229.0,1290.0,1412.0,2850.0,581.0,706.0,730.0,,,,,,,,,,,,,
南昌,1248.0,611.0,1170.0,911.0,2121.0,1886.0,1613.0,1399.0,1048.0,1066.0,890.0,710.0,906.0,1395.0,1392.0,1587.0,3018.0,378.0,469.0,449.0,286.0,,,,,,,,,,,,
武汉,1050.0,684.0,983.0,762.0,1993.0,1761.0,1486.0,1157.0,825.0,823.0,713.0,469.0,653.0,1149.0,1133.0,1343.0,2767.0,312.0,454.0,558.0,301.0,260.0,,,,,,,,,,,
成都,1521.0,1659.0,1521.0,266.0,2576.0,2373.0,2124.0,1326.0,1257.0,1118.0,1367.0,1010.0,605.0,601.0,877.0,699.0,2058.0,1263.0,1408.0,1540.0,906.0,1159.0,982.0,,,,,,,,,,
贵阳,1735.0,1527.0,1703.0,328.0,2769.0,2548.0,2279.0,1651.0,1466.0,1370.0,1481.0,1132.0,880.0,1088.0,1307.0,1211.0,2571.0,1183.0,1322.0,1376.0,647.0,932.0,871.0,519.0,,,,,,,,,
福州,1559.0,611.0,1466.0,1312.0,2283.0,2051.0,1791.0,1778.0,1404.0,1455.0,1193.0,1107.0,1350.0,1841.0,1829.0,2032.0,3463.0,670.0,663.0,469.0,666.0,445.0,699.0,1571.0,1256.0,,,,,,,,
