PaymentID,Clicense,Amount,PaymentTime,Method
1,浙S34870,348.24,2023-07-31 00:00:00,微信
2,豫W28899,170.07,2023-12-01 00:00:00,现金
3,赣K20420,212.24,2023-09-12 00:00:00,微信
4,吉J61831,248.84,2023-10-02 00:00:00,现金
5,赣K20420,46.39,2023-08-04 00:00:00,微信
6,浙F37955,389.41,2023-04-23 00:00:00,微信
7,苏W27043,121.42,2023-01-02 00:00:00,现金
8,蒙K32620,184.39,2023-08-31 00:00:00,现金
9,鄂B13857,34.49,2023-06-28 00:00:00,支付宝
10,鲁D58992,150.88,2023-03-15 00:00:00,微信
11,皖Y59017,125.04,2023-04-25 00:00:00,现金
12,粤N86838,63.03,2023-12-23 00:00:00,微信
13,辽O48056,191.84,2023-01-14 00:00:00,微信
14,晋M02716,188.98,2023-12-26 00:00:00,现金
15,京T03108,292.9,2023-09-02 00:00:00,微信
16,晋U35127,19.94,2023-07-07 00:00:00,现金
17,粤E89931,126.3,2023-01-07 00:00:00,微信
18,冀T74915,79.11,2023-04-04 00:00:00,支付宝
19,鲁D58992,375.31,2023-12-24 00:00:00,支付宝
20,鲁X74999,208.7,2023-06-22 00:00:00,支付宝
21,蒙J75102,349.15,2023-05-27 00:00:00,现金
22,豫X36761,34.7,2023-11-25 00:00:00,现金
23,皖F52964,376.81,2023-09-15 00:00:00,现金
24,辽W95770,201.21,2023-08-05 00:00:00,微信
25,吉Y08325,279.31,2023-05-13 00:00:00,微信
26,湘V64419,156.49,2023-04-27 00:00:00,支付宝
27,晋U35127,139.55,2023-02-17 00:00:00,微信
28,赣P24950,489.07,2023-03-06 00:00:00,微信
29,沪C47377,203.2,2023-01-29 00:00:00,现金
30,鲁Y98272,95.93,2023-10-14 00:00:00,微信
31,吉V00165,409.2,2023-08-28 00:00:00,支付宝
32,黑V96972,328.09,2023-07-27 00:00:00,支付宝
33,苏F91749,32.06,2023-07-10 00:00:00,微信
34,晋M02716,101.39,2023-02-25 00:00:00,现金
35,吉V00165,184.54,2023-06-21 00:00:00,现金
36,津T25497,144.69,2023-10-05 00:00:00,现金
37,苏D53112,109.9,2023-01-06 00:00:00,支付宝
38,鲁I56290,278.09,2023-11-23 00:00:00,现金
39,渝W86109,138.24,2023-10-19 00:00:00,微信
40,浙G46506,284.05,2023-09-05 00:00:00,现金
41,皖Z41787,160.72,2023-06-08 00:00:00,现金
42,晋U97366,377.08,2023-07-23 00:00:00,微信
43,沪U64999,160.66,2023-07-20 00:00:00,微信
44,晋U97366,487.06,2023-12-26 00:00:00,微信
45,湘M95141,169.0,2023-09-15 00:00:00,现金
46,苏B97624,404.71,2023-03-18 00:00:00,现金
47,赣Z89457,399.05,2023-09-02 00:00:00,微信
48,鄂V15946,148.61,2023-03-19 00:00:00,微信
49,皖Q64194,43.98,2023-11-17 00:00:00,现金
50,蒙Q29368,442.78,2023-12-15 00:00:00,微信
51,黑K87879,385.57,2023-03-24 00:00:00,微信
52,黑M97767,496.18,2023-11-08 00:00:00,微信
53,黑Y36756,465.46,2023-06-24 00:00:00,支付宝
54,皖I86264,172.82,2023-07-04 00:00:00,微信
55,闽L17854,24.81,2023-12-16 00:00:00,支付宝
56,津T25497,108.37,2023-11-09 00:00:00,微信
57,赣Y41065,479.22,2023-10-18 00:00:00,微信
58,蒙L63033,53.22,2023-01-08 00:00:00,现金
59,赣I58336,275.83,2023-02-14 00:00:00,支付宝
60,皖X47757,230.13,2023-03-28 00:00:00,支付宝
61,皖L18982,38.74,2023-10-23 00:00:00,支付宝
62,鲁U73871,49.17,2023-04-02 00:00:00,微信
63,粤N73721,132.68,2023-08-31 00:00:00,支付宝
64,粤G47497,326.89,2023-03-13 00:00:00,现金
65,渝K94060,246.69,2023-07-06 00:00:00,支付宝
66,鄂M92351,207.47,2023-11-14 00:00:00,微信
67,蒙E77848,223.21,2023-09-20 00:00:00,微信
68,黑V96972,189.97,2023-12-16 00:00:00,支付宝
69,晋W15585,227.8,2023-12-16 00:00:00,现金
70,浙B21101,488.83,2023-01-30 00:00:00,微信
71,冀X24570,351.37,2023-10-15 00:00:00,现金
72,豫X36761,427.26,2023-05-29 00:00:00,支付宝
73,皖Z94811,287.22,2023-02-07 00:00:00,现金
74,黑I38627,437.71,2023-12-09 00:00:00,现金
75,鄂G10758,235.61,2023-11-25 00:00:00,微信
76,粤Y93551,59.01,2023-04-03 00:00:00,微信
77,豫F53496,459.14,2023-07-23 00:00:00,支付宝
78,吉P87996,203.75,2023-02-03 00:00:00,支付宝
79,粤Z19436,498.24,2023-09-06 00:00:00,现金
80,沪L66662,61.59,2023-08-21 00:00:00,现金
81,浙I64011,82.09,2023-08-29 00:00:00,现金
82,渝J05767,110.67,2023-10-18 00:00:00,现金
83,津A37404,388.23,2023-02-01 00:00:00,支付宝
84,闽L17854,489.39,2023-04-20 00:00:00,现金
85,沪C47377,434.67,2023-12-17 00:00:00,支付宝
86,津K51741,129.78,2023-04-01 00:00:00,现金
87,黑K87879,39.28,2023-07-27 00:00:00,现金
88,皖V16300,437.52,2023-08-20 00:00:00,支付宝
89,豫O38226,110.98,2023-05-13 00:00:00,现金
90,沪J83540,50.76,2023-08-08 00:00:00,支付宝
91,皖V16300,86.44,2023-06-28 00:00:00,支付宝
92,浙S34870,240.37,2023-12-19 00:00:00,现金
93,津Z86705,180.57,2023-12-21 00:00:00,微信
94,吉J87445,412.39,2023-10-15 00:00:00,微信
95,蒙Y80817,43.52,2023-12-08 00:00:00,微信
96,冀H21276,76.59,2023-12-07 00:00:00,微信
97,豫W77576,12.02,2023-08-23 00:00:00,现金
98,浙X89015,432.83,2023-02-28 00:00:00,微信
99,鲁A18411,135.09,2023-01-02 00:00:00,支付宝
100,冀A65146,318.98,2023-11-24 00:00:00,微信
101,湘M95141,23.06,2023-04-07 00:00:00,支付宝
102,浙I64011,388.32,2023-11-04 00:00:00,支付宝
103,京F64467,177.3,2023-04-08 00:00:00,微信
104,浙F37955,477.78,2023-07-09 00:00:00,支付宝
105,蒙K32620,154.46,2023-06-07 00:00:00,微信
106,鲁Z26342,351.16,2023-11-29 00:00:00,支付宝
107,浙T85984,208.14,2023-06-30 00:00:00,微信
108,粤R67442,263.97,2023-06-21 00:00:00,现金
109,苏E95525,232.12,2023-07-11 00:00:00,现金
110,津Y79815,299.47,2023-10-05 00:00:00,支付宝
111,吉O52053,146.09,2023-12-04 00:00:00,微信
112,渝K14798,221.56,2023-05-26 00:00:00,微信
113,浙B21101,469.26,2023-02-20 00:00:00,现金
114,黑M40167,49.37,2023-01-09 00:00:00,微信
115,湘S95562,56.32,2023-11-16 00:00:00,微信
116,吉T67654,318.59,2023-09-15 00:00:00,微信
117,冀H19543,335.52,2023-08-04 00:00:00,现金
118,闽S22833,389.56,2023-10-10 00:00:00,支付宝
119,津K15064,101.8,2023-08-29 00:00:00,现金
