cno,clicense,pno,username,cin,cinHour,cinMin,cout,coutHour,coutMin,ctype
1,鄂A42079,25,user4,17:25,17,25,,0,0,1
2,鄂A69307,137,user10,20:18,20,18,,0,0,1
3,鄂A95290,20,user16,12:24,12,24,,0,0,2
4,鄂A39267,89,user3,20:34,20,34,,0,0,1
5,鄂A79786,150,user1,21:28,21,28,,0,0,1
6,鄂A29801,156,user14,16:43,16,43,,0,0,2
7,鄂A24035,1,user7,04:46,4,46,,0,0,2
8,鄂A87625,43,user8,08:22,8,22,,0,0,2
9,鄂A38384,71,user15,18:24,18,24,,0,0,1
10,鄂A24740,38,user16,07:32,7,32,,0,0,2
11,鄂A77351,51,user2,04:43,4,43,,0,0,1
12,鄂A16627,118,user19,18:39,18,39,,0,0,1
13,鄂A33833,142,user4,08:43,8,43,,0,0,1
14,鄂A17326,195,user12,02:27,2,27,,0,0,2
15,鄂A15420,30,user20,11:42,11,42,,0,0,1
16,鄂A97618,180,user12,16:41,16,41,,0,0,1
17,鄂A39403,152,user5,14:42,14,42,,0,0,2
18,鄂A77473,198,user12,18:09,18,9,,0,0,1
19,鄂A21534,11,user15,02:39,2,39,,0,0,1
20,鄂A22383,86,user20,13:07,13,7,,0,0,2
21,鄂A99194,95,user16,22:49,22,49,,0,0,1
22,鄂A58167,133,user10,19:55,19,55,,0,0,2
23,鄂A63996,74,user19,03:58,3,58,,0,0,2
24,鄂A74714,192,user9,12:59,12,59,,0,0,2
25,鄂A81992,115,user2,17:32,17,32,,0,0,2
26,鄂A72527,139,user17,05:19,5,19,,0,0,2
27,鄂A88050,153,user9,10:27,10,27,,0,0,2
28,鄂A87136,40,user9,09:33,9,33,,0,0,1
29,鄂A72204,72,user12,08:04,8,4,,0,0,1
30,鄂A48679,87,user16,15:04,15,4,,0,0,2
31,鄂A67949,93,user20,08:06,8,6,,0,0,2
32,鄂A66358,172,user11,14:31,14,31,,0,0,1
33,鄂A43574,175,user6,18:41,18,41,,0,0,2
34,鄂A20730,90,user8,17:18,17,18,,0,0,2
35,鄂A12237,158,user2,12:02,12,2,,0,0,1
36,鄂A23118,151,user5,16:38,16,38,,0,0,2
37,鄂A42488,187,user5,04:15,4,15,,0,0,1
38,鄂A57586,81,user5,09:00,9,0,,0,0,2
39,鄂A65991,104,user10,13:00,13,0,,0,0,2
40,鄂A51908,34,user9,09:25,9,25,,0,0,2
41,鄂A14426,126,user3,16:36,16,36,,0,0,1
42,鄂A70168,138,user9,14:38,14,38,,0,0,2
43,鄂A20152,46,user13,02:42,2,42,,0,0,1
44,鄂A44159,144,user4,13:11,13,11,,0,0,2
45,鄂A56627,10,user13,11:56,11,56,,0,0,2
46,鄂A23232,128,user5,11:58,11,58,,0,0,1
47,鄂A40558,116,user4,09:10,9,10,,0,0,2
48,鄂A34537,23,user14,03:12,3,12,,0,0,1
49,鄂A94212,36,user3,00:36,0,36,,0,0,1
50,鄂A29332,19,user16,10:28,10,28,,0,0,1
51,鄂A30915,134,user20,21:18,21,18,,0,0,1
52,鄂A30426,164,user14,02:16,2,16,,0,0,1
53,鄂A77933,92,user20,15:29,15,29,,0,0,2
54,鄂A90056,42,user7,19:21,19,21,,0,0,1
55,鄂A43075,174,user12,23:13,23,13,,0,0,1
56,鄂A90937,145,user17,20:47,20,47,,0,0,1
57,鄂A76904,73,user20,10:31,10,31,,0,0,1
58,鄂A17497,45,user6,20:38,20,38,,0,0,2
59,鄂A28561,57,user10,13:04,13,4,,0,0,1
60,鄂A91775,173,user6,16:22,16,22,,0,0,2
61,鄂A56247,60,user16,04:08,4,8,,0,0,1
62,鄂A35090,4,user10,11:24,11,24,,0,0,1
63,鄂A85844,15,user19,07:46,7,46,,0,0,1
64,鄂A62822,184,user18,15:06,15,6,,0,0,1
65,鄂A56866,160,user11,17:22,17,22,,0,0,1
66,鄂A32645,97,user17,10:11,10,11,,0,0,2
67,鄂A59381,63,user1,15:01,15,1,,0,0,2
68,鄂A95269,111,user2,10:24,10,24,,0,0,1
69,鄂A34336,181,user9,17:11,17,11,,0,0,1
70,鄂A30491,109,user12,04:24,4,24,,0,0,2
71,鄂A80025,120,user20,14:00,14,0,,0,0,1
72,鄂A87964,69,user1,00:52,0,52,,0,0,1
73,鄂A44217,159,user2,12:22,12,22,,0,0,2
74,鄂A69976,102,user5,17:08,17,8,,0,0,1
