pno,parea,pstatus
1,A区,占用
2,A区,空闲
3,A区,空闲
4,A区,占用
5,A区,空闲
6,A区,空闲
7,A区,空闲
8,A区,空闲
9,A区,空闲
10,A区,占用
11,A区,占用
12,A区,空闲
13,A区,空闲
14,A区,空闲
15,A区,占用
16,A区,空闲
17,A区,空闲
18,A区,空闲
19,A区,占用
20,A区,占用
21,A区,占用
22,A区,空闲
23,A区,占用
24,A区,空闲
25,A区,占用
26,A区,空闲
27,A区,空闲
28,A区,空闲
29,A区,空闲
30,A区,占用
31,A区,占用
32,A区,占用
33,A区,空闲
34,A区,占用
35,A区,空闲
36,A区,占用
37,A区,占用
38,A区,占用
39,A区,占用
40,A区,占用
41,A区,空闲
42,A区,占用
43,A区,占用
44,A区,空闲
45,A区,占用
46,A区,占用
47,A区,空闲
48,A区,占用
49,A区,占用
50,A区,空闲
51,A区,占用
52,A区,空闲
53,A区,占用
54,A区,空闲
55,A区,空闲
56,A区,空闲
57,A区,占用
58,A区,空闲
59,A区,空闲
60,A区,占用
61,A区,空闲
62,A区,空闲
63,A区,占用
64,A区,空闲
65,A区,占用
66,A区,空闲
67,A区,占用
68,A区,空闲
69,A区,占用
70,A区,空闲
71,A区,占用
72,A区,占用
73,A区,占用
74,A区,占用
75,A区,占用
76,A区,空闲
77,A区,占用
78,A区,空闲
79,A区,占用
80,A区,空闲
81,A区,占用
82,A区,占用
83,A区,空闲
84,A区,占用
85,A区,空闲
86,A区,占用
87,A区,占用
88,A区,空闲
89,A区,占用
90,A区,占用
91,A区,空闲
92,A区,占用
93,A区,占用
94,A区,空闲
95,A区,占用
96,A区,空闲
97,A区,占用
98,A区,空闲
99,A区,占用
100,A区,空闲
101,B区,空闲
102,B区,占用
103,B区,空闲
104,B区,占用
105,B区,空闲
106,B区,空闲
107,B区,空闲
108,B区,占用
109,B区,占用
110,B区,空闲
111,B区,占用
112,B区,空闲
113,B区,空闲
114,B区,空闲
115,B区,占用
116,B区,占用
117,B区,占用
118,B区,占用
119,B区,空闲
120,B区,占用
121,B区,空闲
122,B区,空闲
123,B区,空闲
124,B区,空闲
125,B区,空闲
126,B区,占用
127,B区,空闲
128,B区,占用
129,B区,空闲
130,B区,空闲
131,B区,空闲
132,B区,空闲
133,B区,占用
134,B区,占用
135,B区,空闲
136,B区,占用
137,B区,占用
138,B区,占用
139,B区,占用
140,B区,占用
141,B区,空闲
142,B区,占用
143,B区,空闲
144,B区,占用
145,B区,占用
146,B区,空闲
147,B区,空闲
148,B区,空闲
149,B区,空闲
150,B区,占用
151,B区,占用
152,B区,占用
153,B区,占用
154,B区,空闲
155,B区,空闲
156,B区,占用
157,B区,空闲
158,B区,占用
159,B区,占用
160,B区,占用
161,B区,空闲
162,B区,空闲
163,B区,空闲
164,B区,占用
165,B区,空闲
166,B区,空闲
167,B区,空闲
168,B区,占用
169,B区,空闲
170,B区,空闲
171,B区,空闲
172,B区,占用
173,B区,占用
174,B区,占用
175,B区,占用
176,B区,空闲
177,B区,空闲
178,B区,空闲
179,B区,占用
180,B区,占用
181,B区,占用
182,B区,空闲
183,B区,空闲
184,B区,占用
185,B区,空闲
186,B区,占用
187,B区,占用
188,B区,空闲
189,B区,空闲
190,B区,空闲
191,B区,占用
192,B区,占用
193,B区,占用
194,B区,占用
195,B区,占用
196,B区,空闲
197,B区,空闲
198,B区,占用
199,B区,空闲
200,B区,空闲
