"Clicense","Type"
"藏N38895","临时"
"赣U89794","临时"
"闽W92932","临时"
"甘R08105","临时"
"浙Y21342","临时"
"桂G59528","临时"
"吉Z60920","临时"
"新U65669","临时"
"渝C67257","临时"
"沪F49711","临时"
"琼Z81475","临时"
"陕Z02772","临时"
"琼B14438","临时"
"吉I23073","临时"
"渝A88236","临时"
"辽P77728","临时"
"吉H24918","临时"
"新N31689","临时"
"黑B58545","临时"
"新P80079","临时"
"贵G19415","临时"
"青P97650","临时"
"沪B13415","临时"
"苏X65254","临时"
"蒙M91165","临时"
"湘B91944","临时"
"新A03528","临时"
"鄂U67295","临时"
"皖H19025","临时"
"新D64356","临时"
"贵X14295","临时"
"豫T37986","临时"
"闽U30336","临时"
"粤C27375","临时"
"黑D60638","临时"
"冀W14981","临时"
"川H80717","临时"
"湘D80622","临时"
"沪N03032","临时"
"鄂Z26907","临时"
"苏I68915","临时"
"京C32812","临时"
"黑R84554","临时"
"琼I40027","临时"
"鄂I42521","临时"
"鄂W03576","临时"
"甘B18848","临时"
"沪I60812","临时"
"贵J66636","临时"
"吉D62567","临时"
"晋N12146","临时"
"晋G95799","临时"
"晋X77031","临时"
"粤N68525","临时"
"京R54665","临时"
"云B85971","临时"
"粤R35043","临时"
"川P35075","临时"
"桂S86070","临时"
"宁Y10276","临时"
"吉K63550","临时"
"湘D06159","临时"
"云Y77118","临时"
"云Y75694","临时"
"蒙P19704","临时"
"浙U71998","临时"
"赣H73355","临时"
"甘G95789","临时"
"苏N78527","临时"
"津J76301","临时"
"苏G08966","临时"
"甘R08990","临时"
"皖I22218","临时"
"甘W79482","临时"
"沪M21946","临时"
"冀U17490","临时"
"宁K29971","临时"
"吉L93690","临时"
"沪Q68807","临时"
"湘H04050","临时"
"蒙F30036","临时"
"粤Y25620","临时"
"辽Y37060","临时"
"晋H48637","临时"
"皖X42113","临时"
"桂S86845","临时"
"京D07569","临时"
"青L18012","临时"
"琼Z89083","临时"
"琼L57793","临时"
"藏C56714","临时"
"辽O22638","临时"
"津V17302","临时"
"鲁F10626","临时"
"沪F66141","临时"
"晋Q69625","临时"
"青E63485","临时"
"晋I35965","临时"
"贵J21688","临时"
"皖R52463","临时"
"青Q92957","月卡"
"黑A06406","月卡"
"粤C02825","月卡"
"川W71862","月卡"
"甘C25875","月卡"
"宁W06022","月卡"
"豫F14465","月卡"
"吉H04288","月卡"
"川S50396","月卡"
"陕V33989","月卡"
"新H01186","月卡"
"苏O83554","月卡"
"闽T21180","月卡"
"苏O81576","月卡"
"琼U15855","月卡"
"渝M92937","月卡"
"藏I38695","月卡"
"苏T93667","月卡"
"蒙A34242","月卡"
"京S99818","月卡"
"渝K12595","月卡"
"皖Q15108","月卡"
"苏I81813","月卡"
"蒙X13436","月卡"
"陕E91281","月卡"
"新X28578","月卡"
"苏R72955","月卡"
"鲁U76221","月卡"
"鄂I56255","月卡"
"鄂F25422","月卡"
"渝P87599","月卡"
"皖J22807","月卡"
"赣W94749","月卡"
"浙U34467","月卡"
"冀F64883","月卡"
"青E42153","月卡"
"赣F97945","月卡"
"琼Y73917","月卡"
"贵I44092","月卡"
"津I24187","月卡"
"鲁L21511","月卡"
"闽N55241","月卡"
"渝M10389","月卡"
"陕Q45971","月卡"
"浙D01076","月卡"
"陕M00926","月卡"
"湘Q69571","月卡"
"赣I85423","月卡"
"吉Y39865","月卡"
"藏U48775","月卡"
"渝H05184","月卡"
"云X52900","月卡"
"宁X41369","月卡"
"豫V42182","月卡"
"闽X87455","月卡"
"鲁Y45504","月卡"
"宁L26719","月卡"
"粤L42949","月卡"
"渝R32889","月卡"
"闽Z29213","月卡"
"贵V21511","月卡"
"晋D42088","月卡"
"川F05579","月卡"
"青D46186","月卡"
"沪S42470","月卡"
"皖J39709","月卡"
"川K99553","月卡"
"鲁W88743","月卡"
"浙E36232","月卡"
"苏S68882","月卡"
"吉B94467","月卡"
"贵Y60482","月卡"
"湘R54030","月卡"
"苏G56942","月卡"
"川C65445","月卡"
"苏T03425","月卡"
"鄂C24042","月卡"
"渝I49347","月卡"
"豫A24123","月卡"
"青L73588","月卡"
"宁L03248","月卡"
"云R74395","月卡"
"辽A29672","月卡"
"晋C42961","月卡"
"辽G07764","月卡"
"宁W10201","月卡"
"陕K98075","月卡"
"琼M20795","月卡"
"鄂T40737","月卡"
"赣X05115","月卡"
"辽V67887","月卡"
"琼J59761","月卡"
"川C51094","月卡"
"冀Q25277","月卡"
"藏F91589","月卡"
"鄂S14156","月卡"
"甘H77313","月卡"
"皖Z92686","月卡"
"津Z60238","月卡"
"甘I26778","月卡"
