"Clicense","StartDate","EndDate"
"青Q92957","2025-04-09","2025-05-09"
"黑A06406","2024-12-09","2025-07-07"
"粤C02825","2025-02-19","2025-06-19"
"川W71862","2024-12-01","2025-10-27"
"甘C25875","2024-07-11","2024-12-08"
"宁W06022","2025-03-27","2026-02-20"
"豫F14465","2025-03-19","2025-07-17"
"吉H04288","2025-03-21","2025-06-19"
"川S50396","2024-07-15","2024-08-14"
"陕V33989","2024-08-15","2025-07-11"
"新H01186","2025-04-10","2026-04-05"
"苏O83554","2024-11-19","2025-07-17"
"闽T21180","2024-10-03","2025-01-01"
"苏O81576","2024-05-23","2025-01-18"
"琼U15855","2024-12-20","2025-01-19"
"渝M92937","2025-04-13","2026-03-09"
"藏I38695","2024-10-23","2025-07-20"
"苏T93667","2024-11-30","2025-02-28"
"蒙A34242","2024-06-13","2024-08-12"
"京S99818","2025-03-20","2025-05-19"
"渝K12595","2025-02-09","2025-12-06"
"皖Q15108","2025-01-27","2025-05-27"
"苏I81813","2025-02-22","2025-07-22"
"蒙X13436","2025-04-03","2026-03-29"
"陕E91281","2024-12-30","2025-04-29"
"新X28578","2024-12-22","2025-10-18"
"苏R72955","2024-06-05","2025-03-02"
"鲁U76221","2024-11-03","2025-03-03"
"鄂I56255","2025-03-19","2026-02-12"
"鄂F25422","2024-05-11","2025-01-06"
"渝P87599","2024-10-29","2025-08-25"
"皖J22807","2025-03-23","2025-07-21"
"赣W94749","2024-09-01","2024-11-30"
"浙U34467","2024-06-23","2025-05-19"
"冀F64883","2024-12-01","2025-08-28"
"青E42153","2025-02-17","2025-07-17"
"赣F97945","2025-01-22","2025-09-19"
"琼Y73917","2024-07-23","2025-04-19"
"贵I44092","2024-07-06","2025-02-01"
"津I24187","2024-06-04","2024-08-03"
"鲁L21511","2024-12-20","2025-08-17"
"闽N55241","2024-09-13","2024-10-13"
"渝M10389","2024-10-03","2024-12-02"
"陕Q45971","2024-06-17","2025-05-13"
"浙D01076","2024-08-06","2025-02-02"
"陕M00926","2024-08-22","2025-02-18"
"湘Q69571","2024-05-23","2024-11-19"
"赣I85423","2024-06-02","2024-08-31"
"吉Y39865","2024-12-08","2025-03-08"
"藏U48775","2025-01-29","2025-05-29"
"渝H05184","2025-03-02","2026-01-26"
"云X52900","2024-10-03","2025-05-01"
"宁X41369","2024-06-06","2025-01-02"
"豫V42182","2024-10-05","2025-05-03"
"闽X87455","2024-05-23","2025-01-18"
"鲁Y45504","2024-05-13","2024-07-12"
"宁L26719","2024-12-21","2025-06-19"
"粤L42949","2024-05-23","2024-06-22"
"渝R32889","2025-01-30","2025-03-01"
"闽Z29213","2024-07-24","2025-04-20"
"贵V21511","2024-12-08","2025-04-07"
"晋D42088","2025-05-06","2026-03-02"
"川F05579","2024-11-13","2025-04-12"
"青D46186","2025-01-19","2025-04-19"
"沪S42470","2025-03-28","2025-05-27"
"皖J39709","2024-07-20","2024-08-19"
"川K99553","2025-01-24","2025-04-24"
"鲁W88743","2025-01-13","2025-04-13"
"浙E36232","2025-04-12","2025-08-10"
"苏S68882","2025-01-01","2025-06-30"
"吉B94467","2025-02-28","2025-05-29"
"贵Y60482","2024-11-21","2025-07-19"
"湘R54030","2024-06-04","2024-12-01"
"苏G56942","2024-09-15","2025-06-12"
"川C65445","2024-12-22","2025-03-22"
"苏T03425","2025-03-09","2026-01-03"
"鄂C24042","2024-12-09","2025-08-06"
"渝I49347","2025-05-03","2025-10-30"
"豫A24123","2025-03-07","2025-10-03"
"青L73588","2024-07-13","2025-01-09"
"宁L03248","2024-07-04","2025-03-01"
"云R74395","2024-06-11","2024-09-09"
"辽A29672","2024-06-18","2025-02-13"
"晋C42961","2024-08-15","2025-02-11"
"辽G07764","2025-04-23","2026-01-18"
"宁W10201","2024-05-08","2024-09-05"
"陕K98075","2024-09-02","2024-10-02"
"琼M20795","2024-07-20","2024-09-18"
"鄂T40737","2024-07-11","2025-07-06"
"赣X05115","2024-08-28","2024-10-27"
"辽V67887","2024-07-27","2025-02-22"
"琼J59761","2025-03-30","2025-08-27"
"川C51094","2024-10-29","2025-04-27"
"冀Q25277","2024-07-26","2025-04-22"
"藏F91589","2024-12-27","2025-02-25"
"鄂S14156","2024-09-25","2025-06-22"
"甘H77313","2024-08-11","2025-05-08"
"皖Z92686","2025-04-04","2026-01-29"
"津Z60238","2024-06-05","2024-09-03"
"甘I26778","2024-08-08","2025-07-04"
